,name,position,annual_salary,season
427,LeBron James,SF,19067500.0,2013.0
428,Chris Bosh,PF,19067500.0,2013.0
429,Chris Bosh,PF,19067500.0,2014.0
430,LeBron James,SF,19067500.0,2014.0
431,Jerami Grant,SF,19050000.0,2021.0
432,Tim Duncan,C,19014188.0,2008.0
433,Stephon Marbury,PG,19012500.0,2008.0
434,Allen Iverson,SG,19012500.0,2008.0
435,Jeff Teague,PG,19000000.0,2018.0
436,George Hill,PG,19000000.0,2018.0
437,George Hill,PG,19000000.0,2019.0
438,Jeff Teague,PG,19000000.0,2019.0
439,Jeff Teague,PG,19000000.0,2020.0
440,Kevin Durant,PF,18995624.0,2015.0
441,Klay Thompson,SG,18988725.0,2019.0
442,Tim Hardaway Jr.,SF,18975000.0,2021.0
443,Blake Griffin,PF,18907726.0,2016.0
444,Terry Rozier,SG,18900000.0,2021.0
445,Julius Randle,PF,18900000.0,2021.0
446,Kawhi Leonard,SF,18868626.0,2018.0
447,Kyrie Irving,PG,18868626.0,2018.0
448,Derrick Rose,PG,18862876.0,2015.0
449,Tim Duncan,C,18835381.0,2011.0
450,Kevin Garnett,PF,18832044.0,2011.0
451,Caris LeVert,SG,18796296.0,2023.0
452,Ray Allen,SG,18776860.0,2010.0
453,Ryan Anderson,PF,18735364.0,2017.0
454,Pau Gasol,PF,18714150.0,2012.0
455,Clint Capela,C,18706896.0,2023.0
456,Bojan Bogdanovic,SF,18700000.0,2022.0
457,Dwyane Wade,SG,18673000.0,2013.0
458,Dwyane Wade,SG,18673000.0,2014.0
459,Paul Millsap,PF,18671659.0,2016.0
460,Chris Paul,PG,18668431.0,2013.0
461,Chris Paul,PG,18668431.0,2014.0
462,Joe Harris,SF,18642857.0,2023.0
463,Enes Freedom,C,18622514.0,2018.0
464,Evan Turner,SG,18606556.0,2020.0
465,Lonzo Ball,PG,18604651.0,2022.0
466,Clint Capela,C,18603448.0,2022.0
467,Draymond Green,PF,18539130.0,2020.0
468,Tristan Thompson,C,18539130.0,2020.0
469,Joakim Noah,C,18530000.0,2018.0
470,Carmelo Anthony,PF,18518574.0,2012.0
471,Allen Crabbe,SG,18500000.0,2017.0
472,Allen Crabbe,SG,18500000.0,2018.0
473,Allen Crabbe,SG,18500000.0,2019.0
474,Allen Crabbe,SG,18500000.0,2020.0
475,Allen Crabbe,SG,18500000.0,2021.0
476,Domantas Sabonis,PF,18500000.0,2023.0
477,Deron Williams,PG,18466130.0,2014.0
478,Ray Allen,SG,18388430.0,2009.0
479,Harrison Barnes,SF,18352273.0,2023.0
480,Paul George,PF,18314532.0,2017.0
481,Michael Redd,SG,18300000.0,2011.0
482,Tracy McGrady,SG,18257750.0,2008.0
483,Zach Randolph,PF,18238333.0,2014.0
484,Eric Gordon,SG,18218818.0,2022.0
485,Amar'e Stoudemire,C,18217705.0,2012.0
486,Elton Brand,PF,18160355.0,2012.0
487,Aaron Gordon,PF,18136364.0,2021.0
488,Eric Bledsoe,SG,18125000.0,2022.0
489,Goran Dragic,PG,18109175.0,2018.0
490,Goran Dragic,PG,18109175.0,2019.0
491,Dwight Howard,C,18091770.0,2012.0
492,Kent Bazemore,SF,18089887.0,2018.0
493,Kent Bazemore,SF,18089887.0,2019.0
494,Jermaine O'Neal,C,18084000.0,2007.0
495,Jason Kidd,PG,18084000.0,2007.0
496,Dirk Nowitzki,PF,18077904.0,2009.0
497,Paul Pierce,SF,18077903.0,2009.0
498,DeMarcus Cousins,C,18063850.0,2018.0
499,Joe Johnson,SG,18038573.0,2012.0
500,Rashard Lewis,PF,18010791.0,2010.0
501,Rasheed Wallace,PF,18000000.0,2004.0
502,Kevin Garnett,PF,18000000.0,2006.0
503,Luol Deng,PF,18000000.0,2017.0
504,Myles Turner,C,18000000.0,2020.0
505,Julius Randle,PF,18000000.0,2020.0
506,Goran Dragic,PG,18000000.0,2021.0
507,Bogdan Bogdanovic,SG,18000000.0,2021.0
508,Myles Turner,C,18000000.0,2021.0
509,Myles Turner,C,18000000.0,2022.0
510,Bogdan Bogdanovic,SG,18000000.0,2022.0
511,Bogdan Bogdanovic,SG,18000000.0,2023.0
512,Evan Fournier,SG,18000000.0,2023.0
513,Steven Adams,C,17926829.0,2023.0
514,Terry Rozier,SG,17905263.0,2022.0
515,Dikembe Mutombo,C,17895000.0,2004.0
516,Rudy Gay,SF,17888932.0,2014.0
517,Wesley Matthews,SG,17884176.0,2018.0
518,Evan Turner,SG,17868853.0,2019.0
519,Bojan Bogdanovic,SF,17850000.0,2021.0
520,Gary Harris,SG,17839286.0,2020.0
521,Kevin Durant,PF,17832627.0,2014.0
522,Kevin Durant,PF,17832626.0,2013.0
523,Klay Thompson,SG,17826150.0,2018.0
524,Pau Gasol,PF,17823000.0,2011.0
525,Andrei Kirilenko,SF,17823000.0,2011.0
526,Andrei Kirilenko,SF,17823000.0,2012.0
527,Shawn Marion,SG,17810000.0,2009.0
528,Ricky Rubio,PG,17800000.0,2022.0
529,Kentavious Caldwell-Pope,SG,17745894.0,2018.0
